Bus,busmap
way/27867392-400,CZ0 0
way/27871140-220,DE0 0
way/27919734-380,DE0 0
way/28008024-220,DE0 0
way/28099187-400,CZ0 0
way/28268556-400,CZ0 0
way/28327356-380,DE0 0
way/28343121-380,DE0 0
way/28348269-220,CZ0 0
way/28349754-400,CZ0 0
way/28382372-400,CZ0 0
way/28397771-220,DE0 0
way/28452784-220,DE0 0
way/28457258-400,CZ0 0
way/28468576-400,CZ0 0
way/28469397-400,CZ0 0
way/28470958-400,CZ0 0
way/28475691-400,CZ0 0
way/28476742-400,CZ0 0
way/28477054-400,CZ0 0
way/28478409-400,CZ0 0
way/28478418-220,CZ0 0
way/28479110-400,CZ0 0
way/28479829-400,CZ0 0
way/28613721-380,DE0 0
way/28622657-220,CZ0 0
way/28622793-400,CZ0 0
way/28624004-220,CZ0 0
way/28624204-400,CZ0 0
way/28624926-400,CZ0 0
way/28625556-400,CZ0 0
way/28626812-400,CZ0 0
way/28628927-400,CZ0 0
way/28729619-380,DE0 41
way/28812249-220,DE0 0
way/28956649-380,DE0 0
way/289836713-380,DE0 0
way/29077623-380,DE0 0
way/29098336-220,PL0 0
way/29115701-220,PL0 0
way/291375946-220,PL0 0
way/29139402-220,PL0 0
way/29309786-380,DE0 0
way/29331499-380,DE0 42
way/293484891-400,PL0 0
way/293484894-220,PL0 0
way/293489607-400,PL0 0
way/29374542-220,DE0 0
way/29472852-380,DE0 0
way/29713902-380,DE0 43
way/30017786-220,DE0 0
way/30039908-380,DE0 44
way/30040568-380,DE0 45
way/301158539-400,DK0 0
way/30132758-380,DE0 46
way/30164703-380,DE0 47
way/30303506-380,DE0 48
way/30613895-380,DE0 0
way/30954714-380,DE0 49
way/31024391-380,DE0 0
way/31105067-380,DE0 0
way/31131320-380,DE0 0
way/31131325-380,DE0 0
way/31367936-220,DE0 0
way/31367940-380,DE0 0
way/31653753-380,DE0 0
way/31762305-220,DE0 0
way/32036484-400,PL0 0
way/32042992-380,DE0 0
way/32063539-380,DE0 50
way/32076853-380,DE0 0
way/32151621-220,DE0 0
way/32318130-220,DE0 51
way/32472806-380,DE0 0
way/32690742-380,DE0 52
way/32725957-220,DE0 0
way/32904794-380,DE0 0
way/32943179-400,PL0 0
way/32966636-220,DE0 0
way/33042984-220,DE0 0
way/33169401-380,DE0 53
way/33411203-380,DE0 0
way/336990960-220,PL0 0
way/33816726-380,DE0 0
way/35176751-380,DE0 0
way/35366436-220,PL0 0
way/35763480-380,DE0 0
way/363872597-400,PL0 0
way/373967500-380,DE0 0
way/37554416-220,DE0 0
way/37721677-380,DE0 0
way/37764852-380,DE0 0
way/38325076-380,DE0 0
way/385098015-400,PL0 0
way/385118244-400,PL0 0
way/385539724-220,PL0 0
way/38584673-220,DE0 0
way/38661452-380,DE0 0
way/39428977-400,PL0 0
way/395847307-380,DE0 0
way/39688875-220,DE0 54
way/398680313-380,DE0 55
way/40062974-220,PL0 0
way/409305507-220,DE0 0
way/40946784-400,PL0 0
way/40946790-220,PL0 0
way/41232144-380,DE0 0
way/41334805-380,DE0 0
way/41389594-380,DE0 0
way/414169327-380,DE0 56
way/42050342-380,DE0 0
way/42097854-380,DE0 0
way/42128776-400,DK0 0
way/42372159-380,DE0 0
way/42410916-380,DE0 0
way/42423415-380,DE0 0
way/42488850-380,DE0 0
way/42507488-380,DE0 0
way/42560068-380,DE0 0
way/42681484-380,DE0 0
way/42797575-380,DE0 0
way/42799487-380,DE0 0
way/42861703-380,DE0 0
way/43163132-380,DE0 57
way/43688805-380,DE0 0
way/442199284-380,DE0 58
way/44389929-220,PL0 0
way/449010725-380,DE0 0
way/456386244-380,DE0 0
way/46092396-400,PL0 0
